,outcome
757,1
758,1
759,0
760,1
761,1
762,2
763,1
764,1
765,1
766,1
767,1
768,2
769,1
770,1
771,1
772,2
773,1
774,1
775,2
776,2
777,1
778,1
779,1
780,0
781,2
782,0
783,1
784,1
785,1
786,1
787,2
788,2
789,0
790,2
791,2
792,1
793,1
794,0
795,1
796,2
797,2
798,1
799,1
800,0
801,2
802,2
803,1
804,2
805,1
806,1
807,1
808,1
809,1
810,1
811,0
812,1
813,0
814,1
815,1
816,1
817,1
818,1
819,0
820,2
821,1
822,1
823,1
824,1
825,1
826,1
827,0
828,1
829,1
830,1
831,1
832,2
833,1
834,0
835,1
836,2
837,1
838,0
839,2
840,1
841,2
842,2
843,0
844,2
845,1
846,1
847,1
848,1
849,2
850,1
851,1
852,2
853,2
854,1
855,2
856,1
857,2
858,2
859,1
860,0
861,0
862,1
863,1
864,0
865,1
866,2
867,0
868,0
869,2
870,1
871,2
872,1
873,1
874,2
875,0
876,1
877,0
878,1
879,2
880,2
881,1
882,1
883,2
884,1
885,2
886,0
887,1
888,1
889,0
890,0
891,2
892,1
893,0
894,1
895,1
896,1
897,0
898,2
899,0
900,1
901,1
902,2
903,1
904,2
905,2
907,1
908,1
909,1
910,0
911,1
912,1
913,1
914,1
915,1
916,0
917,1
918,2
919,2
920,0
921,1
922,1
923,0
924,1
925,2
926,0
927,1
928,1
929,1
930,2
931,0
932,0
933,1
934,1
935,2
936,1
937,0
938,2
939,2
940,0
941,1
942,2
943,0
944,1
945,1
946,2
947,0
948,2
949,1
950,1
951,0
952,1
953,1
954,2
955,1
956,1
957,1
958,0
959,1
960,2
961,1
962,2
963,1
964,1
965,1
966,1
967,1
968,2
969,0
970,1
971,1
972,2
973,2
974,2
975,1
976,1
977,2
978,1
979,1
980,0
981,2
982,1
983,1
984,0
985,1
986,1
987,0
988,0
989,2
990,1
991,2
992,1
993,2
994,2
995,0
996,1
997,1
998,2
999,1
1000,1
1001,1
1002,1
1003,1
1004,1
1005,2
1006,1
1008,0
1009,2
1010,0
1011,2
1013,1
1015,0
1016,0
1017,1
1018,2
1020,2
1021,2
1022,0
1023,2
1024,1
1025,2
1026,2
1027,0
1028,1
1030,2
1032,1
1035,1
1037,1
1038,2
1040,1
1042,0
1044,1
1048,1
1050,2
1051,1
1054,0
1055,1
1057,1
1058,2
1059,1
1062,0
1063,0
1064,0
1066,0
1067,0
1070,1
1071,0
1072,1
1074,1
